,accuracy,precision,recall,f1,model
0,0.9061032863849764,0.8034559683877681,0.8264268657720378,0.8143923630437647,MLP
1,0.9061032863849764,0.8014776100141954,0.846165315754661,0.8217601308539108,MLP
2,0.9178403755868544,0.8286754742547425,0.8631823226717789,0.8427829538079626,MLP
3,0.9061032863849764,0.8020036429872496,0.840856399735423,0.8199929146835482,MLP
4,0.9154929577464788,0.8253449073182012,0.8356573504187267,0.8303140356993705,MLP
5,0.92018779342723,0.8402729601668595,0.8338064328075427,0.8359231545072253,MLP
6,0.9225352112676056,0.8461434712390069,0.8362840390587337,0.8393678434357851,MLP
7,0.9014084507042254,0.8003787878787879,0.8259632955526408,0.8110048050346558,MLP
8,0.9131455399061033,0.8300130864118436,0.8149385082792407,0.8222083125841495,MLP
9,0.8896713615023474,0.7893728290674886,0.7535426406125629,0.7701682707578934,MLP
10,0.908450704225352,0.8361703942542266,0.826589984192648,0.8261228184881557,MLP
11,0.9061032863849764,0.822770042354612,0.8020594401282525,0.8070520606807229,MLP
12,0.8990610328638498,0.799787861121907,0.8196739873765401,0.8082298136645963,DeepMLP
13,0.9107981220657276,0.8213213213213213,0.83138207827442,0.8239087725176776,DeepMLP
14,0.9107981220657276,0.8154131707878906,0.844314398143477,0.8283418648350936,DeepMLP
15,0.903755868544601,0.8029282106288131,0.8375615197479792,0.8168415792103948,DeepMLP
16,0.8896713615023474,0.759951588372641,0.8195641206739986,0.7866988987768108,DeepMLP
17,0.9131455399061033,0.8432539682539683,0.8285507685063734,0.8313473440794397,DeepMLP
18,0.908450704225352,0.8149414873014994,0.8076688079462775,0.8112413302671801,DeepMLP
19,0.908450704225352,0.8236227824463119,0.8318989002118858,0.8221322597148385,DeepMLP
20,0.9061032863849764,0.810702614379085,0.8066884157894147,0.8086127909107569,DeepMLP
21,0.908450704225352,0.8175699489523289,0.8106632361349343,0.8121226330163932,DeepMLP
22,0.8990610328638498,0.8236610907112744,0.7725736835614748,0.7929054611450255,DeepMLP
23,0.8896713615023474,0.7757102841136455,0.7694693886702767,0.7722062040727948,DeepMLP
24,0.7981220657276995,0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
25,0.7981220657276995,0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
26,0.7981220657276995,0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
27,0.7981220657276995,0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
28,0.7981220657276995,0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
29,0.7981220657276995,0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
30,0.7981220657276995,0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
31,0.7981220657276995,0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
32,0.7981220657276995,0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
33,0.7981220657276995,0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
34,0.7981220657276995,0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
35,0.7981220657276995,0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
